id,station_id,station_setup_list_id,status
1,1,1,false
2,1,2,false
3,1,3,false
4,1,4,false
5,1,5,false
6,1,6,false
7,1,7,false
8,1,8,false
9,1,9,false
10,1,10,false
11,2,1,false
12,2,2,false
13,2,3,false
14,2,4,false
15,2,5,false
16,2,6,false
17,2,7,false
18,2,8,false
19,2,9,false
20,2,10,false
21,3,1,false
22,3,2,false
23,3,3,false
24,3,4,false
25,3,5,false
26,3,6,false
27,3,7,false
28,3,8,false
29,3,9,false
30,3,10,false
31,4,1,false
32,4,2,false
33,4,3,false
34,4,4,false
35,4,5,false
36,4,6,false
37,4,7,false
38,4,8,false
39,4,9,false
40,4,10,false
41,5,1,false
42,5,2,false
43,5,3,false
44,5,4,false
45,5,5,false
46,5,6,false
47,5,7,false
48,5,8,false
49,5,9,false
50,5,10,false
51,6,1,false
52,6,2,false
53,6,3,false
54,6,4,false
55,6,5,false
56,6,6,false
57,6,7,false
58,6,8,false
59,6,9,false
60,6,10,false
